period,year,quarter,domestic_demand_real_cop_billion,total_consumption_real_cop_billion,private_consumption_real_cop_billion,government_consumption_real_cop_billion,investment_real_cop_billion,fixed_investment_real_cop_billion,exports_real_cop_billion,imports_real_cop_billion,gdp_real_cop_billion,domestic_demand_nominal_cop_billion,total_consumption_nominal_cop_billion,private_consumption_nominal_cop_billion,government_consumption_nominal_cop_billion,investment_nominal_cop_billion,fixed_investment_nominal_cop_billion,exports_nominal_cop_billion,imports_nominal_cop_billion,gdp_nominal_cop_billion,trm_avg_cop_per_usd,trm_end_cop_per_usd,net_exports_real_cop_billion,net_exports_nominal_cop_billion,gdp_usd_m
2018Q2,2018,2,224260.03429754972,175723.42826488242,144733.83413655392,30991.20773738247,48547.999793788,48458.460764800504,31637.209749857277,46805.548346124684,209187.54507868784,249530.80780926917,200649.32021355454,164685.75320651827,35963.56700703626,48881.48759571462,52978.59907283671,37738.34944136689,49758.96963684,237510.18761379606,2840.6938333333333,2930.8,-15168.338596267407,-12020.620195473108,83609.92121952696
2018Q3,2018,3,231147.02525580328,178796.00184759265,147349.3058594639,31447.16978520145,52418.14654630923,48181.442329931444,32292.94023427,47121.11414548739,216359.03079192876,265205.73551752005,203939.06044860568,168621.21144512875,35317.84900347693,61266.67506891436,53788.76695595917,40095.28252064868,51188.87137956089,254112.14665860782,2960.958474576271,2972.18,-14828.173911217385,-11093.588858912211,85820.90861472572
2018Q4,2018,4,243365.2218885104,203859.50274558467,157156.49951929206,46853.237134957126,39203.570635115815,52007.40666901335,35509.542803666656,51820.32567228523,227192.97591878168,273756.87351546175,232699.17071228725,180974.71250739507,51724.45820489219,41057.702803174485,56731.42787970604,44203.34042758953,57770.723615779665,260189.4903272716,3165.8137288135595,3249.75,-16310.782868618575,-13567.383188190135,82187.23924252545
2019Q1,2019,1,223423.39854792968,171813.5429565522,144587.35758870665,27196.719990644346,51679.27528073066,44526.49992179653,32383.563720244932,47737.01679910339,208263.58830459943,265865.3033739758,201253.30623298447,169133.93675923476,32119.36947374971,64611.9971409913,51749.755364054,38541.05905010791,52736.35553708897,251670.0068869947,3133.4396610169492,3174.79,-15353.453078858456,-14195.29648698106,80317.48944076232
2019Q2,2019,2,232655.8895956172,183080.61234332676,149984.3580621312,33111.356680835146,49562.68570561039,48942.6971858579,33754.201475142625,51081.70330698972,215620.26717555753,270488.46010051743,217731.3216914453,177615.86899396527,40115.45269748003,52757.13840907211,56372.56844344358,42457.839879172374,57375.26577596437,255571.03420372543,3240.9415254237288,3205.67,-17327.501831847097,-14917.425896791996,78857.03342651683
2019Q3,2019,3,242127.15282652242,186937.13894270587,153725.83839790005,33220.084643331684,55250.43349673536,48913.6896758027,33131.09127912997,52287.78960399263,223124.45574955601,290322.77038198774,222393.62994172564,183351.63340069563,39041.99654103001,67929.1404402621,57785.554140413755,41820.20942131477,59797.50830426044,272345.47149904206,3339.7251666666666,3462.01,-19156.698324862657,-17977.298882945666,81547.27048120138
2019Q4,2019,4,250928.55902993074,213924.70575741507,165430.44595126208,48623.838685188806,36654.60551692358,49796.11321654289,34462.14352548247,51143.49028991427,234215.6887702871,295113.4661435181,253762.74213384447,197832.56084610434,55930.18128774012,41350.72400967365,59559.122052088685,45392.891649404955,60024.87038268624,280481.48741023685,3409.6245901639345,3277.14,-16681.3467644318,-14631.978733281285,82261.69186466106
2020Q1,2020,1,224619.2411876625,178492.73875429007,151599.83771890326,26866.68260277311,46075.35371542627,39636.46416244746,30089.282428215603,45676.65497602137,208984.3672610599,279349.7051957164,214438.93116254706,182329.82668910729,32109.104473439784,64910.77403316936,47810.86944216927,38340.5112599973,55995.639394682985,261694.57706103072,3544.4669491525424,4064.81,-15587.372547805764,-17655.128134685685,73831.85703666953
2020Q2,2020,2,190733.1401581683,156964.6476006899,124339.01202645297,32677.635611963633,33674.43857792627,27744.58644278334,23187.731109314023,33917.38508262762,179587.94992052202,228970.32854890265,190782.45722506623,151078.42546453304,39704.031760533195,38187.8713238364,35153.82206643942,27559.157566931473,43823.77693458531,212705.70918124882,3850.0299999999997,3758.91,-10729.653973313594,-16264.619367653835,55247.805648592046
2020Q3,2020,3,218543.8429907365,172968.7436239244,140331.20635011749,32667.171677173763,45531.96119093245,36407.213094510626,23824.353761348946,38904.9620376697,202864.1706667569,266356.88420340855,209724.62167900396,169797.09644270057,39927.525236303394,56632.26252440461,45388.39203786962,32197.126806304692,49715.10580366225,248838.90520605104,3730.6661290322577,3878.94,-15080.608276320752,-17517.978997357557,66700.93130810405
