period,foreign_demand_idx
1996Q1,100.00000000000004
1996Q2,101.5252273001068
1996Q3,102.63171736066882
1996Q4,103.65816905778858
1997Q1,104.11983570273945
1997Q2,105.69378944386847
1997Q3,106.9135819299755
1997Q4,107.96284195518075
1998Q1,108.79392890329197
1998Q2,109.5756130884022
1998Q3,110.60936322323462
1998Q4,111.65890273067308
1999Q1,112.67435383986664
1999Q2,113.37356806992128
1999Q3,114.71878010867357
1999Q4,116.27330971874686
2000Q1,117.16865344429624
2000Q2,118.98975282903696
2000Q3,119.30654126269754
2000Q4,119.69927532481853
2001Q1,120.00909607703174
2001Q2,120.3173934280595
2001Q3,119.92938255101072
2001Q4,119.96433060343978
2002Q1,120.71396536506171
2002Q2,121.40410475433971
2002Q3,122.11535592106553
2002Q4,122.28049134837505
2003Q1,122.33669237365537
2003Q2,122.99226096963969
2003Q3,124.63469959555488
2003Q4,125.80243530161317
2004Q1,126.50700899200635
2004Q2,127.71811292539964
2004Q3,128.5647970972521
2004Q4,129.59851410043237
2005Q1,130.69340129434082
2005Q2,131.3782548643561
2005Q3,132.2755459330998
2005Q4,133.17939608275356
2006Q1,135.0129356781371
2006Q2,135.7887099803926
2006Q3,136.33658122022362
2006Q4,137.64683904649166
2007Q1,138.25301778876283
2007Q2,139.24172867424204
2007Q3,140.05992377638887
2007Q4,141.03907071222187
2008Q1,140.9533593048465
2008Q2,141.73211876791902
2008Q3,141.31604822762543
2008Q4,138.25648977831102
2009Q1,135.18373716997976
2009Q2,135.12975285434675
2009Q3,136.24186444125195
2009Q4,137.92882201507078
2010Q1,138.84280930609586
2010Q2,140.5438153412287
2010Q3,141.7107358419693
2010Q4,142.63476120820388
2011Q1,143.1336079316966
2011Q2,143.99498342040928
2011Q3,144.29521928842618
2011Q4,145.53886837144697
2012Q1,146.30851973685364
2012Q2,147.06350262552345
2012Q3,147.50730879368172
2012Q4,147.6277961061509
2013Q1,148.50060564486864
2013Q2,149.21069329600175
2013Q3,150.31295038758014
2013Q4,151.28254415680354
2014Q1,151.4221959408493
2014Q2,152.6323855454416
2014Q3,154.00529453505405
2014Q4,154.90018985592963
2015Q1,155.69051136490154
2015Q2,156.24265591844323
2015Q3,156.71555756101836
2015Q4,156.9104355341265
2016Q1,157.5407707420784
2016Q2,158.02708513729976
2016Q3,158.88962529873012
2016Q4,159.71725500697934
2017Q1,160.8239524902166
2017Q2,161.7529716401951
2017Q3,162.7774026485001
2017Q4,164.52667282201324
2018Q1,165.47343724460276
2018Q2,166.22753472163288
2018Q3,166.8891384218371
2018Q4,167.11980248820709
2019Q1,168.04550052403093
2019Q2,169.02422702630722
2019Q3,170.4334687481399
2019Q4,171.11457614899035
2020Q1,168.50071757911698
2020Q2,153.26250085883152
2020Q3,166.32849052409384
2020Q4,168.95045037679628
2021Q1,170.5084192146762
2021Q2,173.14874524843123
2021Q3,174.01426433498315
2021Q4,176.48027192310627
2022Q1,176.70546126364053
2022Q2,177.27067736031051
2022Q3,178.47971508142874
2022Q4,179.38336182682426
2023Q1,180.3557860413323
2023Q2,181.29541808091963
2023Q3,182.78069448020096
2023Q4,183.7506390405656
2024Q1,184.12697670023778
2024Q2,185.36023559033083
2024Q3,186.66678008502294
2024Q4,187.14305211359843
2025Q1,187.37009020933502
2025Q2,188.5550466748361
2025Q3,189.86480238604858
2025Q4,190.24462006007167
2026Q1,190.95732575493633
